xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_224,2015-05-29,41,,,plantcat_9,18856
detail_225,2012-02-29,64.07,,,plantcat_8,18881
detail_226,2012-09-25,67.08,,,plantcat_8,18881
detail_227,2013-12-19,56.38,,,plantcat_8,18881
detail_228,2015-09-30,16.82,,,plantcat_8,18881
detail_229,2015-02-05,6.4,,,plantcat_8,18978
detail_230,2012-11-05,1.5,,,plantcat_8,18981
detail_231,2021-05-15,45,,,,9689
detail_232,2016-09-29,108.65,,,plantcat_8,12156
detail_233,2018-11-28,5700,,,,14548
detail_234,2017-10-04,1.12,,,plantcat_8,10490
detail_235,2016-11-17,2.9,,,plantcat_9,10970
detail_236,2020-06-24,0.03,,,plantcat_9,10972
detail_237,2015-03-31,98.28,,,plantcat_8,19155
detail_238,2019-04-09,9.15,,,plantcat_8,19291
detail_239,2012-04-20,20.88,,,plantcat_9,11549
detail_240,2017-08-04,2.69,,,plantcat_9,11549
detail_241,2014-12-24,48.12,,,plantcat_9,10973
detail_242,2014-11-27,8.64,,,plantcat_8,10709
detail_243,2018-02-02,1.09,,,plantcat_9,12152
detail_244,2017-10-04,1.3,,,plantcat_9,19318
detail_245,2012-06-01,9.95,,,plantcat_8,9529
detail_246,2015-09-29,8.88,,,plantcat_8,9529
detail_247,2018-03-02,1.62,,,plantcat_9,19323
detail_248,2018-05-31,2.02,,,plantcat_9,12535
detail_249,2012-05-08,7.68,,,plantcat_9,19339
detail_250,2018-03-13,2.69,,,plantcat_9,19339
detail_251,2018-03-07,2.65,,,plantcat_9,12511
detail_252,2018-05-22,1.18,,,plantcat_9,19355
detail_253,2018-02-02,0.63,,,plantcat_9,10659
detail_254,2018-02-02,2.38,,,plantcat_9,19361
detail_255,2013-12-06,56.7,,,plantcat_9,19364
detail_256,2018-05-31,2.65,,,plantcat_9,19364
detail_257,2017-01-06,7.6,,,plantcat_9,9446
detail_258,2019-08-20,0.63,,,plantcat_8,10976
detail_259,2013-12-30,79.04,,,plantcat_8,19373
detail_260,2015-09-30,27.04,,,plantcat_8,19373
detail_261,2017-03-23,2.35,,,plantcat_9,19398
detail_262,2013-07-16,6.62,,,plantcat_9,11284
detail_263,2018-08-28,1.46,,,plantcat_9,11284
detail_264,2009-10-25,3.06,,,plantcat_8,19407
detail_265,2012-06-20,8.32,,,plantcat_8,19407
detail_266,2017-03-25,6.72,,,plantcat_8,19407
detail_267,2012-09-14,4.2,,,plantcat_8,12084
